"","ROOF","WALL","FLOOR","WIN","SHGC","LPD","HEATEFF","COP","EPD","HSP","CSP","OCC","TOTAL_E"
"1",2.396620582,0.816530402,1.670275379,2.981330255,0.382502528,9.991736704,3.330940993,2.814300314,9.534708608,23.99087238,24.3568023,0.066092368,1822.066708
"2",2.474798085,0.73518635,1.766379807,2.750135686,0.388696239,10.44200717,3.199601631,2.805456577,10.61061193,23.90990031,24.08914058,0.064406569,1937.343255
"3",2.333063572,0.861973476,1.907218754,3.230317658,0.386346895,10.6754319,3.401458563,2.821832654,10.03298482,23.00748912,23.74716238,0.063603227,1878.576908
"4",2.538011343,0.724493127,1.665589874,2.920762608,0.393200927,10.88269946,3.187261303,2.829474176,8.60909194,22.99469011,23.25714065,0.064065843,1786.203027
"5",2.423295159,0.746268973,1.816468101,3.05193325,0.397592335,10.97211589,3.22410634,2.944937172,8.311314685,22.98079442,24.76066833,0.06151768,1718.904557
"6",2.360604259,0.748836655,1.796582499,3.225287447,0.396814381,10.42036021,3.118899677,3.058830189,8.141483472,22.9746027,23.43759627,0.057551846,1718.160025
"7",2.229182423,0.745296413,1.848887504,3.076280437,0.369626774,10.28963674,3.388568737,2.925045415,8.753433362,22.96280473,24.00411679,0.063238746,1742.08181
"8",2.320481914,0.85015046,1.729286445,3.127395344,0.386641827,10.67955109,3.110867378,3.012282256,8.352749322,22.95856104,23.21528748,0.0582418,1746.296699
"9",2.25557328,0.714908852,1.662824524,3.189350587,0.399586029,10.43560402,3.222997763,2.860495867,10.02540996,22.94142907,23.80159104,0.061213491,1880.043242
"10",2.238576294,0.791119563,1.837683363,2.947363138,0.395069127,10.64948443,3.273407454,2.942225942,9.125981714,22.93754859,24.7241896,0.066040372,1768.667666
"11",2.356834739,0.719647627,1.863716715,3.224934843,0.37973264,10.73023352,3.332514474,2.95973779,8.996766188,22.92613412,24.32585908,0.053900259,1774.073475
"12",2.262880483,0.752030592,1.696649551,3.029479551,0.377672016,10.8546205,3.175947586,2.9302324,9.815477582,22.91166469,23.04563921,0.054687738,1893.902923
"13",2.275956435,0.773275641,1.705865994,3.018678393,0.389210756,10.5793395,3.433559471,2.866966015,9.973721815,23.89303812,24.74897608,0.054944378,1863.858184
"14",2.379453209,0.739821537,1.731852931,3.077125121,0.375410886,10.89207602,3.394285957,2.980846306,10.91013073,22.90555684,22.91075026,0.058033858,1986.415278
"15",2.569421541,0.70919476,1.871446751,2.806233311,0.396124392,10.99499528,3.113218138,2.855367553,10.23653555,22.89771431,24.70544662,0.053993551,1878.635143
"16",2.34011565,0.711511952,1.685050852,3.199717869,0.398806192,9.967258256,3.4567894,2.863510891,10.89298863,22.88732184,23.18089385,0.06879272,1956.858274
"17",2.280746007,0.699011339,1.805683383,3.061624189,0.388225898,10.81205664,3.244069895,2.90785443,10.80258008,22.87315622,23.89497681,0.052422254,1943.22362
"18",2.241314407,0.693959385,1.83577335,3.193666421,0.383987112,10.09036297,3.234908181,2.830678727,10.20594135,22.86530597,23.22943514,0.05643178,1905.801414
"19",2.362612778,0.737669022,1.654195718,3.008386567,0.399747081,10.28169073,3.141664099,2.820057108,9.800422753,22.85489268,22.94062634,0.050699776,1888.100374
"20",2.269806374,0.748138943,1.730478329,3.16543813,0.378576675,10.9862911,3.205347632,2.847662553,8.855484069,22.84788008,23.39187218,0.055355927,1805.68453
"21",2.267603669,0.755194903,1.672122135,3.163786256,0.389045149,10.92670812,3.337152509,2.841952783,10.85786759,22.8397607,23.0236348,0.056396291,1993.435698
"22",2.265728377,0.920363706,1.725484228,2.994777632,0.377186637,9.667374473,3.260575639,3.022498646,10.50085668,22.82105831,23.73791356,0.059904412,1857.686777
"23",2.378528077,0.806417,1.743030883,2.996060747,0.393479453,10.54997358,3.206657701,2.823587953,8.498871014,22.81541552,23.11308074,0.05304951,1762.786633
"24",2.280573753,0.731835133,1.691679289,3.215017201,0.387740882,10.46047579,3.16842192,2.900113895,9.948791569,23.88676825,24.49579614,0.051881901,1880.63634
"25",2.338086017,0.736897562,1.687404863,2.88033193,0.39551649,10.57825383,3.42613718,2.79048973,8.008817473,22.80042984,24.15175257,0.057243363,1685.484719
"26",2.370538652,0.787191779,1.6684897,2.934425718,0.374148293,10.75340979,3.100268862,2.780183047,9.943067964,22.79240368,24.48091462,0.061474697,1853.142067
"27",2.266516181,0.702299723,1.832889756,3.16652668,0.388170512,10.83225108,3.19060043,2.893054494,8.190547201,22.78365085,24.16938485,0.051957704,1721.763563
